Applied_At,Status,Priority,Company,Job_Title,Location,Match_Pct,Platform,URL,Notes
2026-09-05 19:24:14,applied,🔥 HIGH PRIORITY,Atyeti,Senior SDET | Exp: 7+ Years,Hybrid - Mumbai,91.3%,naukri,https://www.naukri.com/job-listings-senior-sdet-exp-7-years-atyeti-mumbai-7-to-12-years-230826003155,"Strong tech matches: c#, playwright, reqnroll, specflow, bdd | Perfect experience match (7-7 yrs) | Standard employer"
2026-09-05 19:24:50,applied,🔥 HIGH PRIORITY,NTT DATA BUSINESS SOLUTIONS,Senior SDET (C# + Selenium),Hyderabad,91.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-c-selenium-ntt-data-services-india-private-limited-hyderabad-5-to-9-years-210826925148,"Strong tech matches: c#, selenium, bdd, ai | Acceptable exp range (5-9 yrs) | Banking / Fintech domain (Strong match)"
2026-09-06 05:34:03,skipped,🔥 HIGH PRIORITY,Husky Technologies,"Test Automation Engineer- Husky (India) Guindy, Chennai-Immediate joiners only","Chennai, Tamil Nadu, India",90.5%,linkedin,https://in.linkedin.com/jobs/view/test-automation-engineer-husky-india-guindy-chennai-immediate-joiners-only-at-husky-technologies-4462666861,Reached step limit without reaching submission
2026-09-05 19:12:22,applied,🔥 HIGH PRIORITY,AVEVA,"R&D Senior Member of Technical Staff, Product Development","Hyderabad, Telangana, India",89.2%,linkedin,https://in.linkedin.com/jobs/view/r-d-senior-member-of-technical-staff-product-development-at-aveva-4406523663,"Strong tech matches: c#, .net, ci/cd, rest api, nunit | Perfect experience match (8-8 yrs) | Standard employer"
2026-09-06 05:34:07,skipped,🔥 HIGH PRIORITY,Epsilon,Senior Software Engineer,"Bengaluru, Karnataka, India",88.2%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-at-epsilon-4462621281,Reached step limit without reaching submission
,skipped,🔥 HIGH PRIORITY,TechGrove by Banyan Software,Senior AI Full Stack Engineer (.NET / React / Azure),"Bengaluru, Karnataka, India",88.0%,linkedin,https://in.linkedin.com/jobs/view/senior-ai-full-stack-engineer-net-react-azure-at-techgrove-by-banyan-software-4462908875,Reached step limit without reaching submission
2026-09-06 08:13:43,applied,🔥 HIGH PRIORITY,Zensar Technologies,Middleware Testing Architect,"Pune District, Maharashtra, India",87.8%,linkedin,https://in.linkedin.com/jobs/view/middleware-testing-architect-at-zensar-technologies-4462618974,Reached step limit without reaching submission
2026-09-06 09:04:48,applied,🔥 HIGH PRIORITY,LogixHealth,Senior Software Engineer(Allscripts),"Bengaluru, Karnataka, India",86.6%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-allscripts-at-logixhealth-4462694181,"Strong tech matches: c#, .net, rest api, ai, copilot | Perfect experience match (10-10 yrs) | Banking / Fintech domain (Strong match)"
2026-09-06 05:33:18,skipped,🔥 HIGH PRIORITY,A.P. Moller - Maersk,Automation Excellence Senior Specialist,"Pune Division, Maharashtra, India",86.2%,linkedin,https://in.linkedin.com/jobs/view/automation-excellence-senior-specialist-at-a-p-moller-maersk-4454386766,Reached step limit without reaching submission
,skipped,🔥 HIGH PRIORITY,QualiZeal,Senior Test Engineer / Lead Test Engineer,"Hyderabad, Telangana, India",86.2%,linkedin,https://in.linkedin.com/jobs/view/senior-test-engineer-lead-test-engineer-at-qualizeal-4464071581,Reached step limit without reaching submission
2026-09-07 11:38:38,applied,🔥 HIGH PRIORITY,Sia,Senior QA Engineer - Automation,"Mumbai, Maharashtra, India",86.2%,linkedin,https://in.linkedin.com/jobs/view/senior-qa-engineer-automation-at-sia-4464314242,"Strong tech matches: c#, playwright, selenium, ci/cd, ai | Slightly junior (3 yrs req) | Standard employer"
,skipped,🔥 HIGH PRIORITY,Velodata Global Pvt Ltd,LEAD QA AUTOMATION ENGINEER - QUALITY ENGINEERING,"Thiruvananthapuram, Kerala, India",86.0%,linkedin,https://in.linkedin.com/jobs/view/lead-qa-automation-engineer-quality-engineering-at-velodata-global-pvt-ltd-4462927102,Reached step limit without reaching submission
,skipped,🔥 HIGH PRIORITY,Tata Consultancy Services,NET Full Stack Developer (React),"Bengaluru, Karnataka, India",86.0%,linkedin,https://in.linkedin.com/jobs/view/net-full-stack-developer-react-at-tata-consultancy-services-4462692351,Reached step limit without reaching submission
,skipped,🔥 HIGH PRIORITY,Tata Consultancy Services,Automation tester + Playwright,"Bangalore Urban, Karnataka, India",85.8%,linkedin,https://in.linkedin.com/jobs/view/automation-tester-%2B-playwright-at-tata-consultancy-services-4462680749,Reached step limit without reaching submission
,skipped,🔥 HIGH PRIORITY,Applicantz,Software Quality Assurance Engineer,"Bengaluru, Karnataka, India",85.2%,linkedin,https://in.linkedin.com/jobs/view/software-quality-assurance-engineer-at-applicantz-4464065963,Reached step limit without reaching submission
2026-09-06 08:26:46,applied,🔥 HIGH PRIORITY,RBS Lynk,"Senior Automation Tester (C#, SDET, Specflow)",Pune,85.2%,naukri,https://www.naukri.com/job-listings-senior-automation-tester-c-sdet-specflow-worldpay-pune-7-to-10-years-190626503252,"Strong tech matches: c#, specflow | Senior / Lead level role | Standard employer"
2026-09-06 16:32:50,applied,🟢 GOOD MATCH,Hastraa Consulting Services,QA Lead and QA Analyst,India,84.5%,linkedin,https://in.linkedin.com/jobs/view/qa-lead-and-qa-analyst-at-hastraa-consulting-services-4462684642,Strong tech matches: azure devops | Senior / Lead level role | Banking / Fintech domain (Strong match)
2026-09-07 11:38:50,applied,🟢 GOOD MATCH,ResourceTree Global Services Pvt Ltd,VB.Net Engineer ( Health care ) - 9 years IMMEDIATE JOINERS,"Chennai, Tamil Nadu, India",84.2%,linkedin,https://in.linkedin.com/jobs/view/vb-net-engineer-health-care-9-years-immediate-joiners-at-resourcetree-global-services-pvt-ltd-4461883341,"Strong tech matches: c#, .net, azure devops, ci/cd | Standard SDET role | Standard employer"
2026-09-06 05:34:10,skipped,🟢 GOOD MATCH,Sri Anjaneyam Consulting Services Pvt Ltd,Full Stack Engineer,India,84.2%,linkedin,https://in.linkedin.com/jobs/view/full-stack-engineer-at-sri-anjaneyam-consulting-services-pvt-ltd-4456682821,Reached step limit without reaching submission
2026-09-06 13:35:16,applied,🟢 GOOD MATCH,Zinier,SDET Lead,"Bengaluru, Karnataka, India",83.8%,linkedin,https://in.linkedin.com/jobs/view/sdet-lead-at-zinier-4445603015,"Strong tech matches: c#, selenium, bdd, ci/cd, ai | Perfect experience match (9-9 yrs) | Standard employer"
2026-09-07 03:38:56,applied,🟢 GOOD MATCH,Tata Consultancy Services,Playwright,"Chennai, Tamil Nadu, India",83.8%,linkedin,https://in.linkedin.com/jobs/view/playwright-at-tata-consultancy-services-4462686752,"Strong tech matches: c#, playwright, selenium | Slightly junior (4 yrs req) | Standard employer"
2026-09-06 16:33:09,applied,🟢 GOOD MATCH,Dhyati,Lead .NET Engineer,India,83.2%,linkedin,https://in.linkedin.com/jobs/view/lead-net-engineer-at-dhyati-4461839342,"Strong tech matches: c#, .net, azure devops, ci/cd, nunit | Perfect experience match (7-7 yrs) | Standard employer"
,skipped,🟢 GOOD MATCH,CareStack™ - Dental Practice Management,QA - Automation Engineer,"Trivandrum, Kerala, India",83.2%,linkedin,https://in.linkedin.com/jobs/view/qa-automation-engineer-at-carestack%E2%84%A2-dental-practice-management-4462918827,Reached step limit without reaching submission
,skipped,🟢 GOOD MATCH,LTM,Technical Consultant (Microsoft Dynamics CRM),"Bengaluru, Karnataka, India",82.8%,linkedin,https://in.linkedin.com/jobs/view/technical-consultant-microsoft-dynamics-crm-at-ltm-4462686155,Reached step limit without reaching submission
2026-09-06 05:34:14,skipped,🟢 GOOD MATCH,UST,"Lead II - Software Testing (SDET- Automation Testing, Playwright, TypeScript, API automation, Azure)","Hyderabad, Telangana, India",82.8%,linkedin,https://in.linkedin.com/jobs/view/lead-ii-software-testing-sdet-automation-testing-playwright-typescript-api-automation-azure-at-ust-4423105683,Reached step limit without reaching submission
2026-09-06 05:34:17,queued_external,🟢 GOOD MATCH,Worldpay,"Senior Automation Tester (C#, SDET, Specflow)",Bengaluru,82.8%,naukri,https://www.naukri.com/job-listings-senior-automation-tester-c-sdet-specflow-worldpay-bengaluru-7-to-10-years-220626500145,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 05:34:21,skipped,🟢 GOOD MATCH,Sri Anjaneyam Consulting Services Pvt Ltd,Lead Dot Net Full Stack Engineer,India,82.8%,linkedin,https://in.linkedin.com/jobs/view/lead-dot-net-full-stack-engineer-at-sri-anjaneyam-consulting-services-pvt-ltd-4462632056,Reached step limit without reaching submission
,skipped,🟢 GOOD MATCH,Agile Technology Solutions - Your Technology Partner,Senior Automation Engineer,"Pune District, Maharashtra, India",82.2%,linkedin,https://in.linkedin.com/jobs/view/senior-automation-engineer-at-agile-technology-solutions-your-technology-partner-4462908899,Reached step limit without reaching submission
,discovered,🟢 GOOD MATCH,Innova ESI,".NET Developer || 7+ Yrs || Azure Services, Azure Function, Angular & AI/Ml || Bengaluru","Bengaluru, Karnataka, India",82.2%,linkedin,https://in.linkedin.com/jobs/view/net-developer-7%2B-yrs-azure-services-azure-function-angular-ai-ml-bengaluru-at-innova-esi-4464079946,"Strong tech matches: c#, .net, ai, agentic | Perfect experience match (7-7 yrs) | Standard employer"
2026-09-06 08:26:46,applied,🟢 GOOD MATCH,RBS Lynk,"Automation Tester (C#, SDET, Specflow)",Pune,82.2%,naukri,https://www.naukri.com/job-listings-automation-tester-c-sdet-specflow-worldpay-pune-4-to-6-years-020726500240,"Strong tech matches: c#, specflow | Standard SDET role | Standard employer"
